"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.05.2025","214.80","214.97","216.57","210.15","618.33K","0.28%"
"20.05.2025","214.21","215.40","217.44","212.45","402.31K","-0.56%"
"19.05.2025","215.41","217.50","218.14","213.31","304.28K","-0.47%"
"16.05.2025","216.42","214.06","216.97","211.72","420.34K","1.43%"
"15.05.2025","213.36","216.57","216.57","212.01","356.18K","-1.33%"
"14.05.2025","216.23","216.30","216.97","212.52","763.12K","-0.54%"
"13.05.2025","217.40","219.83","221.87","215.91","346.37K","-0.61%"
"12.05.2025","218.74","220.23","221.90","214.87","382.41K","-0.49%"
"09.05.2025","219.81","218.87","221.00","218.56","346.17K","1.08%"
"08.05.2025","217.46","217.00","220.77","216.04","308.89K","-0.29%"
"07.05.2025","218.10","220.58","220.58","216.60","255.78K","-0.47%"
"06.05.2025","219.13","216.50","220.10","215.04","305.28K","0.71%"
"05.05.2025","217.59","216.33","220.53","215.52","223.02K","0.68%"
"02.05.2025","216.12","226.94","226.94","214.00","280.26K","-1.46%"
"30.04.2025","219.32","213.98","220.47","213.98","575.57K","2.78%"
"29.04.2025","213.39","219.34","220.29","212.16","467.97K","-3.20%"
"28.04.2025","220.45","222.78","226.82","219.34","293.63K","-1.94%"
"25.04.2025","224.82","223.08","229.96","220.09","407.29K","1.28%"
"24.04.2025","221.98","226.68","233.97","220.40","297.33K","-2.01%"
"23.04.2025","226.54","227.86","232.90","222.50","697.29K","0.31%"
"22.04.2025","225.85","222.41","229.00","221.43","245.41K","2.17%"
"21.04.2025","221.06","222.30","222.52","219.04","119.04K","-0.06%"